,track_name,genre,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
67,Rise Up,Pop,0.805,0.398,0.316,0.0,0.295,-7.0310000000000015,0.0368,118.582,0.174,Cluster 1
68,One Call Away,Pop,0.403,0.667,0.613,0.0,0.115,-5.353,0.0344,91.024,0.47,Cluster 2
69,watch,Pop,0.302,0.447,0.602,0.00233,0.107,-8.996,0.219,165.041,0.35,Cluster 3
70,Send My Love (To Your New Lover),Pop,0.0415,0.69,0.524,3.16e-06,0.17,-8.39,0.103,164.023,0.562,Cluster 3
71,Wherever You Will Go,Pop,0.0367,0.5579999999999999,0.7190000000000001,0.0,0.115,-5.113,0.0267,112.027,0.371,Cluster 2
72,Home To Mama,Pop,0.95,0.688,0.29600000000000004,0.000166,0.115,-11.064,0.0872,89.09100000000002,0.478,Cluster 4
73,Shape of You,Pop,0.581,0.825,0.652,0.0,0.0931,-3.1830000000000003,0.0802,95.977,0.931,Cluster 2
74,Make It To Me,Pop,0.634,0.506,0.3720000000000001,1.65e-06,0.099,-8.491,0.0642,150.225,0.234,Cluster 3
75,The Reason,Pop,0.0129,0.472,0.6709999999999999,0.0,0.159,-4.649,0.029,82.95200000000001,0.0681,Cluster 4
76,Iris,Pop,0.00133,0.29100000000000004,0.79,5.61e-06,0.0811,-5.683,0.0363,155.667,0.513,Cluster 3
77,Lucky,Pop,0.29600000000000004,0.623,0.417,0.0,0.135,-8.699,0.0354,130.032,0.721,Cluster 1
78,Lay Me Down,Pop,0.336,0.59,0.451,0.0,0.103,-8.193999999999999,0.0417,129.72899999999998,0.334,Cluster 1
79,Lay Me Down,Pop,0.915,0.463,0.198,0.0,0.106,-11.003,0.0387,123.63,0.369,Cluster 1
80,This Town,Pop,0.711,0.69,0.407,0.0,0.126,-7.739,0.0297,111.916,0.181,Cluster 2
81,Fix You,Pop,0.163,0.209,0.418,0.00195,0.113,-8.74,0.0338,138.265,0.123,Cluster 1
82,Lost Without You,Pop,0.928,0.409,0.13699999999999998,0.0,0.0706,-9.169,0.0446,162.08,0.106,Cluster 3
83,I See Fire,Pop,0.638,0.6409999999999999,0.17600000000000002,5.14e-06,0.252,-11.692,0.0349,76.031,0.297,Cluster 4
84,Unconditionally,Pop,0.0035700000000000007,0.555,0.7290000000000001,0.0,0.209,-4.813,0.0387,129.003,0.369,Cluster 1
85,Rude,Pop,0.0435,0.743,0.807,0.0,0.309,-3.78,0.0364,144.062,0.899,Cluster 3
86,Bad Day,Pop,0.448,0.599,0.785,0.00336,0.151,-4.013,0.0309,140.046,0.52,Cluster 1
87,Stargazing,Pop,0.152,0.677,0.4970000000000001,0.0,0.0911,-5.763,0.0809,99.137,0.419,Cluster 2
88,Irreplaceable,Pop,0.0293,0.447,0.6940000000000001,5.46e-06,0.16699999999999998,-4.637,0.382,175.868,0.509,Cluster 3
89,Over And Over Again,Pop,0.962,0.47,0.271,0.0,0.106,-8.335,0.0392,129.623,0.388,Cluster 1
90,Cups (Pitch Perfect’s “When I’m Gone”),Pop,0.0582,0.8859999999999999,0.448,0.00658,0.035,-8.866,0.112,129.966,0.731,Cluster 1
91,Tenerife Sea,Pop,0.6970000000000001,0.53,0.34600000000000003,1.07e-05,0.105,-10.497,0.0376,121.876,0.359,Cluster 1
92,Drops of Jupiter,Pop,0.154,0.468,0.64,0.0,0.154,-5.862,0.0275,79.297,0.499,Cluster 4
93,I Like Me Better,Pop,0.535,0.752,0.505,2.55e-06,0.104,-7.621,0.253,91.97,0.419,Cluster 2
94,Mess Is Mine,Pop,0.047,0.595,0.723,0.0286,0.0995,-8.256,0.0349,108.043,0.272,Cluster 2
95,Yellow,Pop,0.00239,0.429,0.6609999999999999,0.00013000000000000002,0.234,-7.227,0.0281,173.365,0.285,Cluster 3
96,Love Song,Pop,0.0208,0.583,0.7859999999999999,0.0,0.188,-3.142,0.0301,123.052,0.573,Cluster 1
